id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
168531341,137351,1575342343,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531344,87732,1575342346,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531524,87732,1575342491,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531835,138044,1575342744,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168531840,138044,1575342752,mod_quiz,started,attempt,2415842.0,quiz_attempts,2060,138044.0,N;,c,12844.0
168532031,92412,1575342882,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532041,92412,1575342894,mod_quiz,started,attempt,2415845.0,quiz_attempts,2060,92412.0,N;,c,12844.0
168532143,92412,1575343000,mod_quiz,submitted,attempt,2415845.0,quiz_attempts,2060,92412.0,"a:2:{s:11:""submitterid"";s:5:""92412"";s:6:""quizid"";s:5:""12844"";}",u,12844.0
168532156,92412,1575343009,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532225,87732,1575343062,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532687,90085,1575343497,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168532706,90085,1575343521,mod_quiz,started,attempt,2415856.0,quiz_attempts,2060,90085.0,N;,c,12844.0
168532895,90085,1575343687,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533269,87732,1575344210,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533270,87732,1575344215,mod_quiz,started,attempt,2415866.0,quiz_attempts,2060,87732.0,N;,c,12844.0
168533794,93407,1575344992,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533826,93407,1575345068,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533836,93407,1575345078,mod_quiz,started,attempt,2415874.0,quiz_attempts,2060,93407.0,N;,c,12844.0
168533841,137705,1575345091,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168533866,90085,1575345139,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168534400,90085,1575346022,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168534517,111853,1575346183,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168535003,139372,1575347224,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168535006,139372,1575347240,mod_quiz,started,attempt,2415891.0,quiz_attempts,2060,139372.0,N;,c,12844.0
168535228,138397,1575347947,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538407,138348,1575359460,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538408,138348,1575359460,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538409,138348,1575359467,mod_quiz,started,attempt,2415915.0,quiz_attempts,2060,138348.0,N;,c,12844.0
168538524,139264,1575359808,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168538526,139264,1575359816,mod_quiz,started,attempt,2415918.0,quiz_attempts,2060,139264.0,N;,c,12844.0
168539970,139296,1575363336,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168540655,139296,1575363771,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168540663,139296,1575363783,mod_quiz,started,attempt,2415938.0,quiz_attempts,2060,139296.0,N;,c,12844.0
168540784,93048,1575364174,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168540786,93048,1575364178,mod_quiz,started,attempt,2415941.0,quiz_attempts,2060,93048.0,N;,c,12844.0
168541134,138202,1575364797,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168541138,138167,1575364812,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168541145,138167,1575364835,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168541146,138167,1575364840,mod_quiz,started,attempt,2415943.0,quiz_attempts,2060,138167.0,N;,c,12844.0
168541232,91071,1575365003,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168541430,122404,1575365363,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168541432,122404,1575365370,mod_quiz,started,attempt,2415946.0,quiz_attempts,2060,122404.0,N;,c,12844.0
168541644,137508,1575365689,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168541650,137508,1575365698,mod_quiz,started,attempt,2415947.0,quiz_attempts,2060,137508.0,N;,c,12844.0
168541660,93195,1575365710,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168542538,139211,1575366904,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168542558,8102,1575366925,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168542588,8102,1575366962,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168542600,139211,1575366978,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
168542606,139211,1575366982,mod_quiz,started,attempt,2415960.0,quiz_attempts,2060,139211.0,N;,c,12844.0
168542898,93832,1575367286,mod_quiz,viewed,course_module,12844.0,quiz,2060,,N;,r,12844.0
