id,userid,t,component,action,target,objectid,objecttable,courseid,relateduserid,extra_info,crud,assignment_id
167385086,138860,1574737430,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167385405,86378,1574737606,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167386713,122339,1574738896,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167386722,122339,1574738910,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167387266,88541,1574739533,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167387290,136966,1574739557,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167387292,118543,1574739559,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167387300,118543,1574739564,mod_quiz,started,attempt,2397682.0,quiz_attempts,2060,118543.0,N;,c,12843.0
167388124,121975,1574740436,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388332,125987,1574740707,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388372,138089,1574740778,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388376,138089,1574740792,mod_quiz,started,attempt,2397693.0,quiz_attempts,2060,138089.0,N;,c,12843.0
167388601,138734,1574741047,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388605,138734,1574741051,mod_quiz,started,attempt,2397698.0,quiz_attempts,2060,138734.0,N;,c,12843.0
167388853,138220,1574741434,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388922,121975,1574741535,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388928,121975,1574741547,mod_quiz,started,attempt,2397705.0,quiz_attempts,2060,121975.0,N;,c,12843.0
167388936,87732,1574741569,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388940,87732,1574741578,mod_quiz,started,attempt,2397706.0,quiz_attempts,2060,87732.0,N;,c,12843.0
167388963,137275,1574741616,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167388971,137275,1574741624,mod_quiz,started,attempt,2397707.0,quiz_attempts,2060,137275.0,N;,c,12843.0
167389028,137275,1574741713,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167389393,121975,1574742309,mod_quiz,submitted,attempt,2397705.0,quiz_attempts,2060,121975.0,"a:2:{s:11:""submitterid"";s:6:""121975"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
167389395,121975,1574742313,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167389724,139177,1574742909,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167389732,8102,1574742918,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167390108,91336,1574743657,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167390113,91336,1574743663,mod_quiz,started,attempt,2397713.0,quiz_attempts,2060,91336.0,N;,c,12843.0
167390562,136811,1574744785,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167391439,137557,1574747945,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167391441,137557,1574747954,mod_quiz,started,attempt,2397721.0,quiz_attempts,2060,137557.0,N;,c,12843.0
167392789,91504,1574753107,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167393249,91934,1574755018,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167393716,138501,1574756541,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167393719,138501,1574756545,mod_quiz,started,attempt,2397733.0,quiz_attempts,2060,138501.0,N;,c,12843.0
167393726,138348,1574756553,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167393727,138348,1574756553,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167393729,138348,1574756560,mod_quiz,started,attempt,2397734.0,quiz_attempts,2060,138348.0,N;,c,12843.0
167393847,90262,1574756740,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167393848,90262,1574756744,mod_quiz,started,attempt,2397735.0,quiz_attempts,2060,90262.0,N;,c,12843.0
167393852,90262,1574756763,mod_quiz,submitted,attempt,2397735.0,quiz_attempts,2060,90262.0,"a:2:{s:11:""submitterid"";s:5:""90262"";s:6:""quizid"";s:5:""12843"";}",u,12843.0
167393854,90262,1574756768,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394009,138501,1574757138,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394020,138501,1574757186,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394032,138501,1574757225,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394063,89917,1574757333,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394126,93832,1574757377,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394133,93832,1574757387,mod_quiz,started,attempt,2397740.0,quiz_attempts,2060,93832.0,N;,c,12843.0
167394996,120993,1574759130,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167394997,120993,1574759135,mod_quiz,started,attempt,2397747.0,quiz_attempts,2060,120993.0,N;,c,12843.0
167395123,118608,1574759363,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167395243,138501,1574759696,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167395246,138501,1574759702,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167395324,137088,1574759753,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
167395541,123649,1574760230,mod_quiz,viewed,course_module,12843.0,quiz,2060,,N;,r,12843.0
